Well,GFP,Strain,Plant,Leaf,vir
D1,45777.0,S4,1,Bottom,virD12
D2,14655.0,S4,1,Bottom,virD12
D3,26106.0,S4,1,Bottom,virD12
D4,75456.0,S4,1,Bottom,virD12
D5,102632.0,S4,2,Top,virD12
D6,94312.0,S4,2,Top,virD12
D7,71428.0,S4,2,Top,virD12
D8,61605.0,S4,2,Top,virD12
D9,34177.0,S4,2,Bottom,virD12
D10,16752.0,S4,2,Bottom,virD12
D11,37077.0,S4,2,Bottom,virD12
D12,65222.0,S4,2,Bottom,virD12
E1,135822.0,S4,3,Top,virD12
E2,176269.0,S4,3,Top,virD12
E3,116964.0,S4,3,Top,virD12
E4,187709.0,S4,3,Top,virD12
E5,118815.0,S4,3,Bottom,virD12
E6,162829.0,S4,3,Bottom,virD12
E7,164737.0,S4,3,Bottom,virD12
E8,140709.0,S4,3,Bottom,virD12
E9,123481.0,S4,4,Top,virD12
E10,55402.0,S4,4,Top,virD12
E11,71871.0,S4,4,Top,virD12
E12,104907.0,S4,4,Top,virD12
F1,128142.0,S4,4,Bottom,virD12
F2,180359.0,S4,4,Bottom,virD12
F3,31936.0,S4,4,Bottom,virD12
F4,128308.0,S4,4,Bottom,virD12
F5,46257.0,S4,5,Top,virD12
F6,171350.0,S4,5,Top,virD12
F7,73650.0,S4,5,Top,virD12
F8,72420.0,S4,5,Top,virD12
F9,66051.0,S4,5,Bottom,virD12
F10,56755.0,S4,5,Bottom,virD12
F11,54987.0,S4,5,Bottom,virD12
F12,74524.0,S4,5,Bottom,virD12
G1,76222.0,S4,6,Top,virD12
G2,167723.0,S4,6,Top,virD12
G3,97220.0,S4,6,Top,virD12
G4,188981.0,S4,6,Top,virD12
G5,109066.0,S4,6,Bottom,virD12
G6,139992.0,S4,6,Bottom,virD12
G7,101197.0,S4,6,Bottom,virD12
G8,5947.0,S4,6,Bottom,virD12
G9,84559.0,S4,7,Top,virD12
G10,26613.0,S4,7,Top,virD12
G11,55051.0,S4,7,Top,virD12
G12,52968.0,S4,7,Top,virD12
H1,64448.0,S4,7,Bottom,virD12
H2,52098.0,S4,7,Bottom,virD12
H3,59049.0,S4,7,Bottom,virD12
H4,50322.0,S4,7,Bottom,virD12
H5,119411.0,S4,8,Top,virD12
H6,74188.0,S4,8,Top,virD12
H7,79741.0,S4,8,Top,virD12
H8,123427.0,S4,8,Top,virD12
H9,86137.0,S4,8,Bottom,virD12
H10,111388.0,S4,8,Bottom,virD12
H11,89700.0,S4,8,Bottom,virD12
H12,117501.0,S4,8,Bottom,virD12
A1,502622.0,T60,1,Top,virD12
A2,620354.0,T60,1,Top,virD12
A3,539696.0,T60,1,Top,virD12
A4,272456.0,T60,1,Top,virD12
A5,78419.0,T60,1,Bottom,virD12
A6,337539.0,T60,1,Bottom,virD12
A7,471817.0,T60,1,Bottom,virD12
A8,248808.0,T60,1,Bottom,virD12
A9,130127.0,T60,2,Top,virD12
A10,350519.0,T60,2,Top,virD12
A11,168985.0,T60,2,Top,virD12
A12,87873.0,T60,2,Top,virD12
B1,137105.0,T60,2,Bottom,virD12
B2,257287.0,T60,2,Bottom,virD12
B3,248615.0,T60,2,Bottom,virD12
B4,254359.0,T60,2,Bottom,virD12
B5,117881.0,T60,3,Top,virD12
B6,216912.0,T60,3,Top,virD12
B7,178200.0,T60,3,Top,virD12
B8,169437.0,T60,3,Top,virD12
B9,153288.0,T60,3,Bottom,virD12
B10,260074.0,T60,3,Bottom,virD12
B11,142916.0,T60,3,Bottom,virD12
B12,138072.0,T60,3,Bottom,virD12
C1,82999.0,T60,4,Top,virD12
C2,167903.0,T60,4,Top,virD12
C3,243530.0,T60,4,Top,virD12
C4,227270.0,T60,4,Top,virD12
C5,78530.0,T60,4,Bottom,virD12
C6,107214.0,T60,4,Bottom,virD12
C7,77178.0,T60,4,Bottom,virD12
C8,122931.0,T60,4,Bottom,virD12
C9,99715.0,T60,5,Top,virD12
C10,56943.0,T60,5,Top,virD12
C11,106708.0,T60,5,Top,virD12
C12,106598.0,T60,5,Top,virD12
D1,242975.0,T60,5,Bottom,virD12
D2,189689.0,T60,5,Bottom,virD12
D3,127689.0,T60,5,Bottom,virD12
D4,201857.0,T60,5,Bottom,virD12
D5,276135.0,T60,6,Top,virD12
D6,345432.0,T60,6,Top,virD12
D7,180808.0,T60,6,Top,virD12
D8,172247.0,T60,6,Top,virD12
D9,297452.0,T60,6,Bottom,virD12
D10,355287.0,T60,6,Bottom,virD12
D11,330313.0,T60,6,Bottom,virD12
D12,373035.0,T60,6,Bottom,virD12
E1,90284.0,T60,7,Top,virD12
E2,129980.0,T60,7,Top,virD12
E3,190651.0,T60,7,Top,virD12
E4,169217.0,T60,7,Top,virD12
E5,130292.0,T60,7,Bottom,virD12
E6,84103.0,T60,7,Bottom,virD12
E7,217486.0,T60,7,Bottom,virD12
E8,104626.0,T60,7,Bottom,virD12
E9,309550.0,T60,8,Top,virD12
E10,367590.0,T60,8,Top,virD12
E11,224375.0,T60,8,Top,virD12
E12,126993.0,T60,8,Top,virD12
F1,152794.0,T60,8,Bottom,virD12
F2,40166.0,T60,8,Bottom,virD12
F3,167719.0,T60,8,Bottom,virD12
F4,224787.0,T60,8,Bottom,virD12
F5,715.0,TiAB,1,Top,virD12
F6,625.0,TiAB,1,Top,virD12
F7,885.0,TiAB,1,Top,virD12
F8,708.0,TiAB,1,Top,virD12
F9,757.0,TiAB,1,Bottom,virD12
F10,646.0,TiAB,1,Bottom,virD12
F11,629.0,TiAB,1,Bottom,virD12
F12,731.0,TiAB,1,Bottom,virD12
G1,699.0,TiAB,2,Top,virD12
G2,916.0,TiAB,2,Top,virD12
G3,880.0,TiAB,2,Top,virD12
G4,742.0,TiAB,2,Top,virD12
G5,684.0,TiAB,2,Bottom,virD12
G6,669.0,TiAB,2,Bottom,virD12
G7,708.0,TiAB,2,Bottom,virD12
G8,811.0,TiAB,2,Bottom,virD12
G9,662.0,TiAB,3,Top,virD12
G10,660.0,TiAB,3,Top,virD12
G11,731.0,TiAB,3,Top,virD12
G12,921.0,TiAB,3,Top,virD12
H1,797.0,TiAB,3,Bottom,virD12
H2,706.0,TiAB,3,Bottom,virD12
H3,697.0,TiAB,3,Bottom,virD12
H4,646.0,TiAB,3,Bottom,virD12
H5,986.0,TiAB,4,Top,virD12
H6,878.0,TiAB,4,Top,virD12
H7,682.0,TiAB,4,Top,virD12
H8,833.0,TiAB,4,Top,virD12
H9,713.0,TiAB,4,Bottom,virD12
H10,711.0,TiAB,4,Bottom,virD12
H11,674.0,TiAB,4,Bottom,virD12
H12,869.0,TiAB,4,Bottom,virD12
A1,836.0,TiAB,5,Top,virD12
A2,865.0,TiAB,5,Top,virD12
A3,804.0,TiAB,5,Top,virD12
A4,949.0,TiAB,5,Top,virD12
A5,817.0,TiAB,5,Bottom,virD12
A6,773.0,TiAB,5,Bottom,virD12
A7,873.0,TiAB,5,Bottom,virD12
A8,977.0,TiAB,5,Bottom,virD12
A9,1204.0,TiAB,6,Top,virD12
A10,971.0,TiAB,6,Top,virD12
A11,1064.0,TiAB,6,Top,virD12
A12,1089.0,TiAB,6,Top,virD12
B1,1065.0,TiAB,6,Bottom,virD12
B2,1138.0,TiAB,6,Bottom,virD12
B3,943.0,TiAB,6,Bottom,virD12
B4,991.0,TiAB,6,Bottom,virD12
B5,565.0,TiAB,7,Top,virD12
B6,585.0,TiAB,7,Top,virD12
B7,555.0,TiAB,7,Top,virD12
B8,924.0,TiAB,7,Top,virD12
B9,804.0,TiAB,7,Bottom,virD12
B10,865.0,TiAB,7,Bottom,virD12
B11,835.0,TiAB,7,Bottom,virD12
B12,842.0,TiAB,7,Bottom,virD12
C1,971.0,TiAB,8,Top,virD12
C2,823.0,TiAB,8,Top,virD12
C3,920.0,TiAB,8,Top,virD12
C4,921.0,TiAB,8,Top,virD12
C5,709.0,TiAB,8,Bottom,virD12
C6,798.0,TiAB,8,Bottom,virD12
C7,835.0,TiAB,8,Bottom,virD12
C8,827.0,TiAB,8,Bottom,virD12
C9,312980.0,T60,1,Top,virD12
C10,148385.0,TiBo,1,Top,virD12
C11,235695.0,TiBo,1,Top,virD12
C12,463367.0,TiBo,1,Top,virD12
D1,367962.0,TiBo,1,Bottom,virD12
D2,567287.0,TiBo,1,Bottom,virD12
D3,364972.0,TiBo,1,Bottom,virD12
D4,613132.0,TiBo,1,Bottom,virD12
D5,327017.0,TiBo,2,Top,virD12
D6,407067.0,TiBo,2,Top,virD12
D7,230361.0,TiBo,2,Top,virD12
D8,145912.0,TiBo,2,Top,virD12
D9,356128.0,TiBo,2,Bottom,virD12
D10,314850.0,TiBo,2,Bottom,virD12
D11,124232.0,TiBo,2,Bottom,virD12
D12,100967.0,TiBo,2,Bottom,virD12
E1,51741.0,TiBo,3,Top,virD12
E2,325577.0,TiBo,3,Top,virD12
E3,210499.0,TiBo,3,Top,virD12
E4,164704.0,TiBo,3,Top,virD12
E5,199444.0,TiBo,3,Bottom,virD12
E6,63108.0,TiBo,3,Bottom,virD12
E7,109263.0,TiBo,3,Bottom,virD12
E8,112021.0,TiBo,3,Bottom,virD12
E9,446254.0,TiBo,4,Top,virD12
E10,468437.0,TiBo,4,Top,virD12
E11,353821.0,TiBo,4,Top,virD12
E12,519497.0,TiBo,4,Top,virD12
F1,170341.0,TiBo,4,Bottom,virD12
F2,130594.0,TiBo,4,Bottom,virD12
F3,283932.0,TiBo,4,Bottom,virD12
F4,300379.0,TiBo,4,Bottom,virD12
F5,206887.0,TiBo,5,Top,virD12
F6,285806.0,TiBo,5,Top,virD12
F7,350493.0,TiBo,5,Top,virD12
F8,282468.0,TiBo,5,Top,virD12
F9,310869.0,TiBo,5,Bottom,virD12
F10,284079.0,TiBo,5,Bottom,virD12
F11,304569.0,TiBo,5,Bottom,virD12
F12,464864.0,TiBo,5,Bottom,virD12
G1,568086.0,TiBo,6,Top,virD12
G2,436746.0,TiBo,6,Top,virD12
G3,528702.0,TiBo,6,Top,virD12
G4,705841.0,TiBo,6,Top,virD12
G5,205525.0,TiBo,6,Bottom,virD12
G6,395041.0,TiBo,6,Bottom,virD12
G7,300934.0,TiBo,6,Bottom,virD12
G8,405242.0,TiBo,6,Bottom,virD12
G9,292943.0,TiBo,7,Top,virD12
G10,122489.0,TiBo,7,Top,virD12
G11,324598.0,TiBo,7,Top,virD12
G12,189179.0,TiBo,7,Top,virD12
H1,505597.0,TiBo,7,Bottom,virD12
H2,399251.0,TiBo,7,Bottom,virD12
H3,421998.0,TiBo,7,Bottom,virD12
H4,335530.0,TiBo,7,Bottom,virD12
H5,398205.0,TiBo,8,Top,virD12
H6,489123.0,TiBo,8,Top,virD12
H7,189864.0,TiBo,8,Top,virD12
H8,263677.0,TiBo,8,Top,virD12
H9,470839.0,TiBo,8,Bottom,virD12
H10,100319.0,TiBo,8,Bottom,virD12
H11,215886.0,TiBo,8,Bottom,virD12
H12,244703.0,TiBo,8,Bottom,virD12
A1,985.0,ΔvirD12,1,Top,virD12
A2,1163.0,ΔvirD12,1,Top,virD12
A3,836.0,ΔvirD12,1,Top,virD12
A4,761.0,ΔvirD12,1,Top,virD12
A5,871.0,ΔvirD12,1,Bottom,virD12
A6,922.0,ΔvirD12,1,Bottom,virD12
A7,1122.0,ΔvirD12,1,Bottom,virD12
A8,942.0,ΔvirD12,1,Bottom,virD12
A9,995.0,ΔvirD12,2,Top,virD12
A10,966.0,ΔvirD12,2,Top,virD12
A11,885.0,ΔvirD12,2,Top,virD12
A12,832.0,ΔvirD12,2,Top,virD12
B1,793.0,ΔvirD12,2,Bottom,virD12
B2,792.0,ΔvirD12,2,Bottom,virD12
B3,706.0,ΔvirD12,2,Bottom,virD12
B4,809.0,ΔvirD12,2,Bottom,virD12
B5,725.0,ΔvirD12,3,Top,virD12
B6,748.0,ΔvirD12,3,Top,virD12
B7,683.0,ΔvirD12,3,Top,virD12
B8,740.0,ΔvirD12,3,Top,virD12
B9,817.0,ΔvirD12,3,Bottom,virD12
B10,714.0,ΔvirD12,3,Bottom,virD12
B11,648.0,ΔvirD12,3,Bottom,virD12
B12,724.0,ΔvirD12,3,Bottom,virD12
C1,800.0,ΔvirD12,4,Top,virD12
C2,786.0,ΔvirD12,4,Top,virD12
C3,775.0,ΔvirD12,4,Top,virD12
C4,769.0,ΔvirD12,4,Top,virD12
C5,818.0,ΔvirD12,4,Bottom,virD12
C6,710.0,ΔvirD12,4,Bottom,virD12
C7,685.0,ΔvirD12,4,Bottom,virD12
C8,657.0,ΔvirD12,4,Bottom,virD12
C9,716.0,ΔvirD12,5,Top,virD12
C10,797.0,ΔvirD12,5,Top,virD12
C11,849.0,ΔvirD12,5,Top,virD12
C12,827.0,ΔvirD12,5,Top,virD12
D1,887.0,ΔvirD12,5,Bottom,virD12
D2,827.0,ΔvirD12,5,Bottom,virD12
D3,731.0,ΔvirD12,5,Bottom,virD12
D4,784.0,ΔvirD12,5,Bottom,virD12
D5,901.0,ΔvirD12,6,Top,virD12
D6,846.0,ΔvirD12,6,Top,virD12
D7,776.0,ΔvirD12,6,Top,virD12
D8,764.0,ΔvirD12,6,Top,virD12
D9,764.0,ΔvirD12,6,Bottom,virD12
D10,713.0,ΔvirD12,6,Bottom,virD12
D11,757.0,ΔvirD12,6,Bottom,virD12
D12,807.0,ΔvirD12,6,Bottom,virD12
E1,776.0,ΔvirD12,7,Top,virD12
E2,937.0,ΔvirD12,7,Top,virD12
E3,802.0,ΔvirD12,7,Top,virD12
E4,709.0,ΔvirD12,7,Top,virD12
E5,753.0,ΔvirD12,7,Bottom,virD12
E6,657.0,ΔvirD12,7,Bottom,virD12
E7,703.0,ΔvirD12,7,Bottom,virD12
E8,803.0,ΔvirD12,7,Bottom,virD12
E9,771.0,ΔvirD12,8,Top,virD12
E10,803.0,ΔvirD12,8,Top,virD12
E11,802.0,ΔvirD12,8,Top,virD12
E12,709.0,ΔvirD12,8,Top,virD12
F1,713.0,ΔvirD12,8,Bottom,virD12
F2,831.0,ΔvirD12,8,Bottom,virD12
F3,804.0,ΔvirD12,8,Bottom,virD12
F4,868.0,ΔvirD12,8,Bottom,virD12
F5,494.0,Leaf,1,Top,virD12
F6,474.0,Leaf,1,Top,virD12
F7,458.0,Leaf,1,Top,virD12
F8,531.0,Leaf,1,Top,virD12
F9,568.0,Leaf,1,Bottom,virD12
F10,630.0,Leaf,1,Bottom,virD12
F11,619.0,Leaf,1,Bottom,virD12
F12,611.0,Leaf,1,Bottom,virD12
G1,557.0,Leaf,2,Top,virD12
G2,530.0,Leaf,2,Top,virD12
G3,501.0,Leaf,2,Top,virD12
G4,547.0,Leaf,2,Top,virD12
G5,637.0,Leaf,2,Bottom,virD12
G6,540.0,Leaf,2,Bottom,virD12
G7,625.0,Leaf,2,Bottom,virD12
G8,545.0,Leaf,2,Bottom,virD12
A1,462563.0,WT,1,Top,virD4
A2,438281.0,WT,1,Top,virD4
A3,392044.0,WT,1,Top,virD4
A4,536579.0,WT,1,Top,virD4
A5,556292.0,WT,1,Bottom,virD4
A6,613912.0,WT,1,Bottom,virD4
A7,575497.0,WT,1,Bottom,virD4
A8,447493.0,WT,1,Bottom,virD4
A9,615937.0,WT,2,Top,virD4
A10,513506.0,WT,2,Top,virD4
A11,489520.0,WT,2,Top,virD4
A12,626273.0,WT,2,Top,virD4
B1,466727.0,WT,2,Bottom,virD4
B2,755412.0,WT,2,Bottom,virD4
B3,601960.0,WT,2,Bottom,virD4
B4,531933.0,WT,2,Bottom,virD4
B5,453924.0,WT,3,Top,virD4
B6,474613.0,WT,3,Top,virD4
B7,493578.0,WT,3,Top,virD4
B8,576507.0,WT,3,Top,virD4
B9,235196.0,WT,3,Bottom,virD4
B10,283888.0,WT,3,Bottom,virD4
B11,257637.0,WT,3,Bottom,virD4
B12,296498.0,WT,3,Bottom,virD4
C1,428967.0,WT,4,Top,virD4
C2,238910.0,WT,4,Top,virD4
C3,220448.0,WT,4,Top,virD4
C4,269188.0,WT,4,Top,virD4
C5,385181.0,WT,4,Bottom,virD4
C6,564750.0,WT,4,Bottom,virD4
C7,384279.0,WT,4,Bottom,virD4
C8,423772.0,WT,4,Bottom,virD4
C9,410336.0,WT,5,Top,virD4
C10,465342.0,WT,5,Top,virD4
C11,397877.0,WT,5,Top,virD4
C12,391157.0,WT,5,Top,virD4
D1,394507.0,WT,5,Bottom,virD4
D2,572257.0,WT,5,Bottom,virD4
D3,428647.0,WT,5,Bottom,virD4
D4,500375.0,WT,5,Bottom,virD4
D5,527653.0,WT,6,Top,virD4
D6,539741.0,WT,6,Top,virD4
D7,511207.0,WT,6,Top,virD4
D8,507940.0,WT,6,Top,virD4
D9,558944.0,WT,6,Bottom,virD4
D10,385497.0,WT,6,Bottom,virD4
D11,472845.0,WT,6,Bottom,virD4
D12,459024.0,WT,6,Bottom,virD4
E1,333991.0,WT,7,Top,virD4
E2,406452.0,WT,7,Top,virD4
E3,366979.0,WT,7,Top,virD4
E4,283519.0,WT,7,Top,virD4
E5,399194.0,WT,7,Bottom,virD4
E6,466422.0,WT,7,Bottom,virD4
E7,508481.0,WT,7,Bottom,virD4
E8,416514.0,WT,7,Bottom,virD4
E9,596203.0,WT,8,Top,virD4
E10,511839.0,WT,8,Top,virD4
E11,461104.0,WT,8,Top,virD4
E12,528154.0,WT,8,Top,virD4
F1,391060.0,WT,8,Bottom,virD4
F2,370436.0,WT,8,Bottom,virD4
F3,496114.0,WT,8,Bottom,virD4
F4,414729.0,WT,8,Bottom,virD4
F5,271729.0,A4,1,Top,virD4
F6,309078.0,A4,1,Top,virD4
F7,311086.0,A4,1,Top,virD4
F8,285561.0,A4,1,Top,virD4
F9,376245.0,A4,1,Bottom,virD4
F10,304664.0,A4,1,Bottom,virD4
F11,339200.0,A4,1,Bottom,virD4
F12,308257.0,A4,1,Bottom,virD4
G1,374524.0,A4,2,Top,virD4
G2,486123.0,A4,2,Top,virD4
G3,464111.0,A4,2,Top,virD4
G4,405268.0,A4,2,Top,virD4
G5,352214.0,A4,2,Bottom,virD4
G6,389841.0,A4,2,Bottom,virD4
G7,410962.0,A4,2,Bottom,virD4
G8,272492.0,A4,2,Bottom,virD4
G9,306804.0,A4,3,Top,virD4
G10,504863.0,A4,3,Top,virD4
G11,332409.0,A4,3,Top,virD4
G12,422285.0,A4,3,Top,virD4
H1,317860.0,A4,3,Bottom,virD4
H2,266110.0,A4,3,Bottom,virD4
H3,391769.0,A4,3,Bottom,virD4
H4,397576.0,A4,3,Bottom,virD4
H5,359940.0,A4,4,Top,virD4
H6,386290.0,A4,4,Top,virD4
H7,426114.0,A4,4,Top,virD4
H8,453082.0,A4,4,Top,virD4
H9,379152.0,A4,4,Bottom,virD4
H10,419405.0,A4,4,Bottom,virD4
H11,520028.0,A4,4,Bottom,virD4
H12,534081.0,A4,4,Bottom,virD4
A1,283488.0,A4,5,Top,virD4
A2,316645.0,A4,5,Top,virD4
A3,271133.0,A4,5,Top,virD4
A4,207308.0,A4,5,Top,virD4
A5,363773.0,A4,5,Bottom,virD4
A6,396630.0,A4,5,Bottom,virD4
A7,383925.0,A4,5,Bottom,virD4
A8,267571.0,A4,5,Bottom,virD4
A9,275536.0,A4,6,Top,virD4
A10,286693.0,A4,6,Top,virD4
A11,291544.0,A4,6,Top,virD4
A12,266939.0,A4,6,Top,virD4
B1,423146.0,A4,6,Bottom,virD4
B2,321041.0,A4,6,Bottom,virD4
B3,361291.0,A4,6,Bottom,virD4
B4,359012.0,A4,6,Bottom,virD4
B5,308936.0,A4,7,Top,virD4
B6,561040.0,A4,7,Top,virD4
B7,555966.0,A4,7,Top,virD4
B8,514397.0,A4,7,Top,virD4
B9,314192.0,A4,7,Bottom,virD4
B10,380571.0,A4,7,Bottom,virD4
B11,347419.0,A4,7,Bottom,virD4
B12,299229.0,A4,7,Bottom,virD4
C1,500848.0,A4,8,Top,virD4
C2,430932.0,A4,8,Top,virD4
C3,407747.0,A4,8,Top,virD4
C4,469055.0,A4,8,Top,virD4
C5,391247.0,A4,8,Bottom,virD4
C6,474750.0,A4,8,Bottom,virD4
C7,415734.0,A4,8,Bottom,virD4
C8,394656.0,A4,8,Bottom,virD4
C9,520091.0,Ach5,1,Top,virD4
C10,572211.0,Ach5,1,Top,virD4
C11,411296.0,Ach5,1,Top,virD4
C12,274116.0,Ach5,1,Top,virD4
D1,311199.0,Ach5,1,Bottom,virD4
D2,482411.0,Ach5,1,Bottom,virD4
D3,361105.0,Ach5,1,Bottom,virD4
D4,511155.0,Ach5,1,Bottom,virD4
D5,520093.0,Ach5,2,Top,virD4
D6,572280.0,Ach5,2,Top,virD4
D7,405296.0,Ach5,2,Top,virD4
D8,274576.0,Ach5,2,Top,virD4
D9,389199.0,Ach5,2,Bottom,virD4
D10,482409.0,Ach5,2,Bottom,virD4
D11,364705.0,Ach5,2,Bottom,virD4
D12,517455.0,Ach5,2,Bottom,virD4
E1,463241.0,Ach5,3,Top,virD4
E2,494072.0,Ach5,3,Top,virD4
E3,390350.0,Ach5,3,Top,virD4
E4,354953.0,Ach5,3,Top,virD4
E5,377271.0,Ach5,3,Bottom,virD4
E6,460857.0,Ach5,3,Bottom,virD4
E7,613633.0,Ach5,3,Bottom,virD4
E8,544177.0,Ach5,3,Bottom,virD4
E9,461244.0,Ach5,4,Top,virD4
E10,422828.0,Ach5,4,Top,virD4
E11,491340.0,Ach5,4,Top,virD4
E12,479111.0,Ach5,4,Top,virD4
F1,349178.0,Ach5,4,Bottom,virD4
F2,527840.0,Ach5,4,Bottom,virD4
F3,351916.0,Ach5,4,Bottom,virD4
F4,299768.0,Ach5,4,Bottom,virD4
F5,472237.0,Ach5,5,Top,virD4
F6,689437.0,Ach5,5,Top,virD4
F7,45515.0,Ach5,5,Top,virD4
F8,111704.0,Ach5,5,Top,virD4
F9,417520.0,Ach5,5,Bottom,virD4
F10,340612.0,Ach5,5,Bottom,virD4
F11,406554.0,Ach5,5,Bottom,virD4
F12,459609.0,Ach5,5,Bottom,virD4
G1,572273.0,Ach5,6,Top,virD4
G2,486158.0,Ach5,6,Top,virD4
G3,507313.0,Ach5,6,Top,virD4
G4,602329.0,Ach5,6,Top,virD4
G5,426070.0,Ach5,6,Bottom,virD4
G6,476605.0,Ach5,6,Bottom,virD4
G7,379278.0,Ach5,6,Bottom,virD4
G8,359146.0,Ach5,6,Bottom,virD4
G9,463218.0,Ach5,7,Top,virD4
G10,503596.0,Ach5,7,Top,virD4
G11,629349.0,Ach5,7,Top,virD4
G12,496169.0,Ach5,7,Top,virD4
H1,423035.0,Ach5,7,Bottom,virD4
H2,355088.0,Ach5,7,Bottom,virD4
H3,416154.0,Ach5,7,Bottom,virD4
H4,479958.0,Ach5,7,Bottom,virD4
H5,636483.0,Ach5,8,Top,virD4
H6,552274.0,Ach5,8,Top,virD4
H7,696415.0,Ach5,8,Top,virD4
H8,553802.0,Ach5,8,Top,virD4
H9,368147.0,Ach5,8,Bottom,virD4
H10,466315.0,Ach5,8,Bottom,virD4
H11,267834.0,Ach5,8,Bottom,virD4
H12,426332.0,Ach5,8,Bottom,virD4
A1,558603.0,B21,1,Top,virD4
A2,492387.0,B21,1,Top,virD4
A3,660291.0,B21,1,Top,virD4
A4,731096.0,B21,1,Top,virD4
A5,649111.0,B21,1,Bottom,virD4
A6,578028.0,B21,1,Bottom,virD4
A7,713465.0,B21,1,Bottom,virD4
A8,589331.0,B21,1,Bottom,virD4
A9,514456.0,B21,2,Top,virD4
A10,524924.0,B21,2,Top,virD4
A11,462237.0,B21,2,Top,virD4
A12,445564.0,B21,2,Top,virD4
B1,421585.0,B21,2,Bottom,virD4
B2,379164.0,B21,2,Bottom,virD4
B3,352869.0,B21,2,Bottom,virD4
B4,412399.0,B21,2,Bottom,virD4
B5,712153.0,B21,3,Top,virD4
B6,695108.0,B21,3,Top,virD4
B7,608614.0,B21,3,Top,virD4
B8,599596.0,B21,3,Top,virD4
B9,458059.0,B21,3,Bottom,virD4
B10,552748.0,B21,3,Bottom,virD4
B11,548444.0,B21,3,Bottom,virD4
B12,462910.0,B21,3,Bottom,virD4
C1,583070.0,B21,4,Top,virD4
C2,565672.0,B21,4,Top,virD4
C3,579204.0,B21,4,Top,virD4
C4,527904.0,B21,4,Top,virD4
C5,514395.0,B21,4,Bottom,virD4
C6,694088.0,B21,4,Bottom,virD4
C7,570576.0,B21,4,Bottom,virD4
C8,540615.0,B21,4,Bottom,virD4
C9,603571.0,B21,5,Top,virD4
C10,587297.0,B21,5,Top,virD4
C11,636540.0,B21,5,Top,virD4
C12,604300.0,B21,5,Top,virD4
D1,525201.0,B21,5,Bottom,virD4
D2,831239.0,B21,5,Bottom,virD4
D3,615594.0,B21,5,Bottom,virD4
D4,670126.0,B21,5,Bottom,virD4
D5,409044.0,B21,6,Top,virD4
D6,547543.0,B21,6,Top,virD4
D7,392850.0,B21,6,Top,virD4
D8,437963.0,B21,6,Top,virD4
D9,595974.0,B21,6,Bottom,virD4
D10,612276.0,B21,6,Bottom,virD4
D11,792998.0,B21,6,Bottom,virD4
D12,509680.0,B21,6,Bottom,virD4
E1,242699.0,B21,7,Top,virD4
E2,242688.0,B21,7,Top,virD4
E3,295824.0,B21,7,Top,virD4
E4,206497.0,B21,7,Top,virD4
E5,416419.0,B21,7,Bottom,virD4
E6,403862.0,B21,7,Bottom,virD4
E7,286627.0,B21,7,Bottom,virD4
E8,171884.0,B21,7,Bottom,virD4
E9,453446.0,B21,8,Top,virD4
E10,452431.0,B21,8,Top,virD4
E11,500823.0,B21,8,Top,virD4
E12,480313.0,B21,8,Top,virD4
F1,370262.0,B21,8,Bottom,virD4
F2,372492.0,B21,8,Bottom,virD4
F3,273563.0,B21,8,Bottom,virD4
F4,350325.0,B21,8,Bottom,virD4
F5,546437.0,C58,1,Top,virD4
F6,515022.0,C58,1,Top,virD4
F7,529192.0,C58,1,Top,virD4
F8,604407.0,C58,1,Top,virD4
F9,514003.0,C58,1,Bottom,virD4
F10,650380.0,C58,1,Bottom,virD4
F11,430582.0,C58,1,Bottom,virD4
F12,457524.0,C58,1,Bottom,virD4
G1,688127.0,C58,2,Top,virD4
G2,685321.0,C58,2,Top,virD4
G3,559056.0,C58,2,Top,virD4
G4,490563.0,C58,2,Top,virD4
G5,712574.0,C58,2,Bottom,virD4
G6,734200.0,C58,2,Bottom,virD4
G7,670208.0,C58,2,Bottom,virD4
G8,685668.0,C58,2,Bottom,virD4
G9,830055.0,C58,3,Top,virD4
G10,762799.0,C58,3,Top,virD4
G11,748902.0,C58,3,Top,virD4
G12,1656.0,C58,3,Top,virD4
H1,663906.0,C58,3,Bottom,virD4
H2,634568.0,C58,3,Bottom,virD4
H3,427731.0,C58,3,Bottom,virD4
H4,524535.0,C58,3,Bottom,virD4
H5,710667.0,C58,4,Top,virD4
H6,505147.0,C58,4,Top,virD4
H7,609894.0,C58,4,Top,virD4
H8,542702.0,C58,4,Top,virD4
H9,484962.0,C58,4,Bottom,virD4
H10,443453.0,C58,4,Bottom,virD4
H11,445957.0,C58,4,Bottom,virD4
H12,642260.0,C58,4,Bottom,virD4
A1,594628.0,C58,5,Top,virD4
A2,697343.0,C58,5,Top,virD4
A3,766951.0,C58,5,Top,virD4
A4,701605.0,C58,5,Top,virD4
A5,535765.0,C58,5,Bottom,virD4
A6,600807.0,C58,5,Bottom,virD4
A7,656518.0,C58,5,Bottom,virD4
A8,668687.0,C58,5,Bottom,virD4
A9,672923.0,C58,6,Top,virD4
A10,643151.0,C58,6,Top,virD4
A11,696289.0,C58,6,Top,virD4
A12,613549.0,C58,6,Top,virD4
B1,546451.0,C58,6,Bottom,virD4
B2,464955.0,C58,6,Bottom,virD4
B3,760767.0,C58,6,Bottom,virD4
B4,528760.0,C58,6,Bottom,virD4
B5,468992.0,C58,7,Top,virD4
